tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N11137,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11140,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11150,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11155,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11164,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11165,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11176,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11181,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11184,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11187,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11189,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11191,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11192,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11193,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11194,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11199,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N111US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11206,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N112US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N113SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N113UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N114SY,2014,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N114UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11526,2001,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N11535,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11536,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11539,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11544,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11547,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11548,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11551,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11565,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N116SY,2014,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N116UA,1998,Fixed wing multi engine,BOEING,747-422,4,495,NA,Turbo-fan
N117SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N117UA,1999,Fixed wing multi engine,BOEING,747-422,4,495,NA,Turbo-fan
N117UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N118SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N118US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N119SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N119UA,1999,Fixed wing multi engine,BOEING,747-422,4,495,NA,Turbo-fan
N119US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N1200K,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1201P,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N120SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N120UA,1999,Fixed wing multi engine,BOEING,747-422,4,495,NA,Turbo-fan
N12109,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12114,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12116,1996,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12122,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12125,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12126,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12135,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12136,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12142,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12145,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12157,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12160,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12163,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12166,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12167,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12172,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12175,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12195,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N121DE,1987,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N121SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N121UA,1999,Fixed wing multi engine,BOEING,747-422,4,495,NA,Turbo-fan
N121UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12201,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12216,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12218,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12221,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12225,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12238,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N122SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N122US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N123UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N124DE,1987,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N124SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N124US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12528,NA,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N12530,2001,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N12540,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12552,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12563,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12564,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12567,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12569,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N125DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N125SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N125UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N126DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N126UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N127DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N127SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N127UA,1999,Fixed wing multi engine,BOEING,747-422,4,495,NA,Turbo-fan
N127UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N128DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N128SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N128UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N12900,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12921,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12922,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12924,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12946,1998,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N12967,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12996,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N129DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N130DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N13110,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N13113,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N13118,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13123,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13124,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13132,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13133,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13138,1999,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N13161,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N131EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13202,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13248,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N132EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N133EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N134EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13538,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13550,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13553,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13566,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N135EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N136DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N136EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13716,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N13718,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N13750,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N137DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N137EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N138DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N138EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13903,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13908,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13913,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13914,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13936,1997,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N13949,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13964,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13965,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13969,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13970,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13975,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13978,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13979,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13988,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13989,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13992,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13994,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13995,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13997,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N139DL,1992,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1402A,1993,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N140LL,1993,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N14102,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14105,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14106,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14107,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14115,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14116,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14117,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14118,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14120,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14121,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14125,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14143,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14148,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14153,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14158,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14162,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14168,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14171,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14173,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14174,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14177,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14179,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14180,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14186,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14188,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14198,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14203,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14204,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14214,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14219,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14228,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14230,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14231,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14237,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14242,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14250,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N143DA,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N144DA,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N14514,2000,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N14542,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14543,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14558,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14562,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14568,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14570,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14573,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N146PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N14704,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N14731,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N147PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N14902,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14904,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14905,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14907,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14916,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14920,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14923,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14925,1996,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N14930,1997,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N14933,1997,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N14945,1998,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N14947,1998,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N14959,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14972,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14974,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14977,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14991,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14993,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14998,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N1501P,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N150UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N151UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N152DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N152UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N153DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N153PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N153UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N154DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N154UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15527,2001,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N15555,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15572,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15574,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N155DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N155UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N156DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N156UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15710,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N15712,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N157UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15910,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15912,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15926,1996,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N15932,1997,Fixed wing multi engine,EMBRAER,EMB-145EP,2,55,NA,Turbo-fan
N15973,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15980,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15983,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15985,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15986,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N1602,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1603,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1604R,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1605,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N16065,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1607B,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1608,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1609,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1610D,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
